sentence	sentence_id	locale	reason
Tom bukanlah penghianat.	7f6a37e79594915d9d638f249a334f6f3bb97918b137bcf6dae6b835ec83c6fb	id	grammar-or-spelling
Inilah pen saya.	82ec4780f71629cd107e966ff38a6ac986d1718a5ee0a34380e16abc9dfbca0f	id	different-language
Muiriel tidak ada pilihan lain. Dia hanya dengan menerima kekalahannya.	66a50d7010152568aa2adcbf84ef477f6238f77e2e7ddf25fcd91b44d120f82c	id	grammar-or-spelling
Buah Mangga ini rasa nya manis	63c8ef1e58d839e75b670658c043c428150d76d765e2ae1e512a6684682f9434	id	grammar-or-spelling
Kakeku meninggal karena bosan.	7a7c1f8af04150de88655fa3ce7d129f280424564aae80c0a78fac479f7ddd3e	id	grammar-or-spelling
Ada lebih banyak mobil di jalan saat musim panas dari pada di musim dingin.	60f5a8671d76741bd4b4ac74d9aa73bab76c3d893381f8367621aadd71e06dd7	id	grammar-or-spelling
Macam apapun permainan yang aku dan kau mainkan, kau tidak pernah menang.	7e58a45020f912af56e9e50bb4d5b6fbdda3dc8e8bfd8e0366ef96ea2048a323	id	different-language
Macam apapun permainan yang aku dan kau mainkan, kau tidak pernah menang.	7e58a45020f912af56e9e50bb4d5b6fbdda3dc8e8bfd8e0366ef96ea2048a323	id	grammar-or-spelling
Kamus ada di rak buku sana.	72d1a7188faa68523460ed6f8ebe94f12a1016497e6f7e46e9e158311524b694	id	grammar-or-spelling
Muiriel tidak ada pilihan lain. Dia hanya dengan menerima kekalahannya.	66a50d7010152568aa2adcbf84ef477f6238f77e2e7ddf25fcd91b44d120f82c	id	grammar-or-spelling
Saya kecenderungan melupakan nama-nama.	7bb83934f40dfb320b6d9a52e5bee089b17dfd9fcae070ecb9ecaa9286184754	id	grammar-or-spelling
Dia menuangkan air mendidih ke dalam cangkir.	724b9ceedb529a10d825a6b4b6d3f585eea794ca0fba5d6006612c57be39f640	id	grammar-or-spelling
Tiada Tuhan selain Allah dan Muhammad adalah utusan Allah.	871739be7c049f4279cb243c8c1ce91063485a204cc547c22087228375ef1aad	id	difficult-pronounce
Tom mulai bermain biola ketika dia berumur tigabelas tahun.	9ab33bfe41cd9c96cbd9ae812f9f5f5b800406aebadec59b0248e783e117c22e	id	grammar-or-spelling
Sebelum mask ketuk pintu dahulu	96a2444c53940e39a8e982fe65850c67286492f1c2a4347c587d2c7b9674532f	id	grammar-or-spelling
Jangan berterimakasih kepada saya, berterimakasihlah kepada Tom!	7cf307f98685105feb0b983d435528df2b8633a300705f416d6067445399af24	id	grammar-or-spelling
Apakah anda makan dirumah atau makan diluar?	863df6fa9abe8e8158fed70d046dbf8bb233e832f3c67e0a50eff7cf10152c51	id	grammar-or-spelling
makan makanan yang sehat	6ae2002436e97dbf5387a92de587204252e2d0817c8d9e0b24d4734a1c995564	id	grammar-or-spelling
Kalau mereka meninggalkan lebih awal, mereka akan dapat menghindari kemacetan.	8051da4b655a60e2bf8c4a114dbd52412bf5ae6f2b29aa986a6b10a482ea8249	id	grammar-or-spelling
Aku tinggal bersama orangtua.	67931b34d2ec2bad5643440b8b7bbacb27711a1414bc460d87bbf45d3c515c69	id	grammar-or-spelling
Buku tulis ini lebih panjang lebarnya daripada panjangnya.	7aceb083a9e5dd6b19c2069a3382678732988e32fd607efb0dc6aa154443cd10	id	grammar-or-spelling
Apa yang keluar dari hati, datang ke hati.	97ff1abf6f0b03041ee419ce60e6976f9017826c4f4e5e88234de9e12a7f70de	id	grammar-or-spelling
Sebelum mask ketuk pintu dahulu	96a2444c53940e39a8e982fe65850c67286492f1c2a4347c587d2c7b9674532f	id	grammar-or-spelling
Inilah pen saya.	82ec4780f71629cd107e966ff38a6ac986d1718a5ee0a34380e16abc9dfbca0f	id	different-language
Bila aku katakan pada ibuku, dia akan kuatir, maka aku tidak berfikir untuk mengatakannya.	91a7afde6ea234726c1cab45a0471058d8520d853a134f2aafc23f6089ece0dc	id	grammar-or-spelling
Saya tidak dapat berpikir bahwa ceritamu benar.	8c74b5ec1df2433e5e0f298d0e375b6176299449b32d9e8169840bed734078cb	id	grammar-or-spelling
Diem terus ngerjain enggak!	96725c7dc220a282aef06188c156973f8ec5710a932617e5eaff051154f3b0ff	id	grammar-or-spelling
Segerakan, nantinya tepat waktu.	9a8dc3b0908c9280e72ab20dad84dab2f4d483c1bab49b92a41691a9be734eb4	id	grammar-or-spelling
Segerakan, nantinya tepat waktu.	9a8dc3b0908c9280e72ab20dad84dab2f4d483c1bab49b92a41691a9be734eb4	id	different-language
Dia memiliki banyak untang.	5adef41292ec66abc49bd1c7317b3adde9f2cb279b03b3df53e912ecea4b4564	id	grammar-or-spelling
makan makanan yang sehat	6ae2002436e97dbf5387a92de587204252e2d0817c8d9e0b24d4734a1c995564	id	grammar-or-spelling
Dimana kursi saya?	88dea278f9e35c18720a34d4087ab3dc44d74f199dcd7c18f9cdf79d968d88ea	id	grammar-or-spelling
Barangkali anda punya alasan untuk berfikir bahwa masa muda anda sudah berakhir.	a028fe5bae0f3691accf4fac2458bddaae400e19133d2a37c28a62b1858ab239	id	grammar-or-spelling
Kami memiliki beberapa berita yang menyemangatkan.	9ce93e1691e7ea1e273c314647395cdd43a86590d4f0edc7e6d843de4c7bfe0c	id	grammar-or-spelling
Karena musim dingin dingin, saya menyalakan penghangat.	a3dcb6ab83fcb7b7b4308706c5040a719ce5090d9e30fe83ed4181a9f94e2a25	id	grammar-or-spelling
Saya pergi jalan-jalan ke luar negeri dua minggu mulai minggu depan.	9aaa5d2329da40ea0934fdb51b7ccd4a834f9a89fc27b60e89e15f85f0bda2c2	id	grammar-or-spelling
Jalan yang jauh tidak ada untuk seorang sahabat dekat.	6aa3803849eec14a74c794858eb56d69f7f94ed2bee63edee7dfb793b35353ed	id	grammar-or-spelling
Macam apapun permainan yang aku dan kau mainkan, kau tidak pernah menang.	7e58a45020f912af56e9e50bb4d5b6fbdda3dc8e8bfd8e0366ef96ea2048a323	id	grammar-or-spelling
Macam apapun permainan yang aku dan kau mainkan, kau tidak pernah menang.	7e58a45020f912af56e9e50bb4d5b6fbdda3dc8e8bfd8e0366ef96ea2048a323	id	different-language
Segerakan, nantinya tepat waktu.	9a8dc3b0908c9280e72ab20dad84dab2f4d483c1bab49b92a41691a9be734eb4	id	grammar-or-spelling
Dia berduduk di situ dengan mata tertutup.	9af18ffe7ac8174bed06dd636a41e20674853039564f167e8660341aa659168a	id	grammar-or-spelling
Sebelum mask ketuk pintu dahulu	96a2444c53940e39a8e982fe65850c67286492f1c2a4347c587d2c7b9674532f	id	grammar-or-spelling
Muiriel tidak ada pilihan lain. Dia hanya dengan menerima kekalahannya.	66a50d7010152568aa2adcbf84ef477f6238f77e2e7ddf25fcd91b44d120f82c	id	grammar-or-spelling
Kalau mereka meninggalkan lebih awal, mereka akan dapat menghindari kemacetan.	8051da4b655a60e2bf8c4a114dbd52412bf5ae6f2b29aa986a6b10a482ea8249	id	grammar-or-spelling
Macam apapun permainan yang aku dan kau mainkan, kau tidak pernah menang.	7e58a45020f912af56e9e50bb4d5b6fbdda3dc8e8bfd8e0366ef96ea2048a323	id	grammar-or-spelling
Kamus ada di rak buku sana.	72d1a7188faa68523460ed6f8ebe94f12a1016497e6f7e46e9e158311524b694	id	grammar-or-spelling
Passport saya hilang!	75cfbcc536dca9017c1ad435536f0dd087e31ae03f75a1d4877f52c47d7a11d5	id	different-language
Tom melihat kepada Mary.	a476dac2a5be043c5b62d3713b5dea212ec4e4df92dc033d1a747b14f8b579ed	id	grammar-or-spelling
Besok saya akan bertemu dengan teman orang luar negeri.	9fd01b359019c21a3e171518189872106873e3830043a62e41ab3c372b4b3306	id	grammar-or-spelling
Muiriel tidak ada pilihan lain. Dia hanya dengan menerima kekalahannya.	66a50d7010152568aa2adcbf84ef477f6238f77e2e7ddf25fcd91b44d120f82c	id	grammar-or-spelling
Tom bukanlah penghianat.	7f6a37e79594915d9d638f249a334f6f3bb97918b137bcf6dae6b835ec83c6fb	id	grammar-or-spelling
Tom mulai bermain biola ketika dia berumur tigabelas tahun.	9ab33bfe41cd9c96cbd9ae812f9f5f5b800406aebadec59b0248e783e117c22e	id	grammar-or-spelling
Orang Jepang dan Inggris biasanya menunggu di pemberhentian bis dengan mengantri.	8f8ee56c4dc4721694128cf17a653efa68739e01a5569e1af143f28d006a3c2c	id	grammar-or-spelling
Karena musim dingin dingin, saya menyalakan penghangat.	a3dcb6ab83fcb7b7b4308706c5040a719ce5090d9e30fe83ed4181a9f94e2a25	id	grammar-or-spelling
Buah Mangga ini rasa nya manis	63c8ef1e58d839e75b670658c043c428150d76d765e2ae1e512a6684682f9434	id	grammar-or-spelling
Segerakan, nantinya tepat waktu.	9a8dc3b0908c9280e72ab20dad84dab2f4d483c1bab49b92a41691a9be734eb4	id	grammar-or-spelling
Kare adalah makanan India.	9ec31a6dec52c3176c8313d461c84daf9c708a18afc87a2c2ccd18fe3c95c2c4	id	grammar-or-spelling
Kamus ada di rak buku sana.	72d1a7188faa68523460ed6f8ebe94f12a1016497e6f7e46e9e158311524b694	id	grammar-or-spelling
Dick telah mengalami kecelakaan lalu-lintas.	a2a36d50c481eeeb81dd660e15f2bc84b43ca3518c8e82c3f562843c31cbb8c1	id	offensive-language
Tanya rumahnya dimana!	6c4052d71ecb6fe7161c34ae7a0ebc29e345a47c6df2d9e675f6ec02bd5a0228	id	grammar-or-spelling
Sebelum mask ketuk pintu dahulu	96a2444c53940e39a8e982fe65850c67286492f1c2a4347c587d2c7b9674532f	id	grammar-or-spelling
Tom mulai bermain biola ketika dia berumur tigabelas tahun.	9ab33bfe41cd9c96cbd9ae812f9f5f5b800406aebadec59b0248e783e117c22e	id	grammar-or-spelling
Saya tidak dapat berpikir bahwa ceritamu benar.	8c74b5ec1df2433e5e0f298d0e375b6176299449b32d9e8169840bed734078cb	id	grammar-or-spelling
Tom bukanlah penghianat.	7f6a37e79594915d9d638f249a334f6f3bb97918b137bcf6dae6b835ec83c6fb	id	grammar-or-spelling
Negara Anda di mana.	7ee205621a561c1c75501df37bf61a99cee956343fb424f70b655e2a3be18396	id	grammar-or-spelling
Muiriel tidak ada pilihan lain. Dia hanya dengan menerima kekalahannya.	66a50d7010152568aa2adcbf84ef477f6238f77e2e7ddf25fcd91b44d120f82c	id	grammar-or-spelling
Dia menyandarkan kepalanya diatas bantal.	a906cc1f8bcbfa08a6997e172bc0b05e21b330cec3a1f599877cb7df7c90e581	id	grammar-or-spelling
Saya tidak dapat berpikir bahwa ceritamu benar.	8c74b5ec1df2433e5e0f298d0e375b6176299449b32d9e8169840bed734078cb	id	grammar-or-spelling
Tom melihat kepada Mary.	a476dac2a5be043c5b62d3713b5dea212ec4e4df92dc033d1a747b14f8b579ed	id	grammar-or-spelling
Saya kecenderungan melupakan nama-nama.	7bb83934f40dfb320b6d9a52e5bee089b17dfd9fcae070ecb9ecaa9286184754	id	grammar-or-spelling
Kare adalah makanan India.	9ec31a6dec52c3176c8313d461c84daf9c708a18afc87a2c2ccd18fe3c95c2c4	id	grammar-or-spelling
Saya kecenderungan melupakan nama-nama.	7bb83934f40dfb320b6d9a52e5bee089b17dfd9fcae070ecb9ecaa9286184754	id	grammar-or-spelling
Buku tulis ini lebih panjang lebarnya daripada panjangnya.	7aceb083a9e5dd6b19c2069a3382678732988e32fd607efb0dc6aa154443cd10	id	grammar-or-spelling
Segerakan, nantinya tepat waktu.	9a8dc3b0908c9280e72ab20dad84dab2f4d483c1bab49b92a41691a9be734eb4	id	grammar-or-spelling
Tom bukanlah penghianat.	7f6a37e79594915d9d638f249a334f6f3bb97918b137bcf6dae6b835ec83c6fb	id	grammar-or-spelling
Tom memecahkan vas ming dari cina milik Mary yang mahal	ac0c8f20667c779586756faff26ad3cd450cf33ff558f94887f42dd973782f98	id	grammar-or-spelling
Malam ini saya tidak ingin pergi ke mana-mana.	adee4f70c9b0f24136a9be423bdf5cf8974b2fa88bd5872d14d7297ee1722153	id	grammar-or-spelling
Permisi, apa waktu itu?	b0053a5ca91aa6d85bb0d5293417adbaa094088aaf01aea4221b8aa75d10f64b	id	grammar-or-spelling
Pada pagi saya tiba di sana, saya berjalan-jalan dalam hutan Oak	b5bf95a97b55a6c0639038ba69b69d97467492fbd2baea3b2bc9ed2466ea0994	id	grammar-or-spelling
Buku tulis ini lebih panjang lebarnya daripada panjangnya.	7aceb083a9e5dd6b19c2069a3382678732988e32fd607efb0dc6aa154443cd10	id	grammar-or-spelling
Saya tidak dapat berpikir bahwa ceritamu benar.	8c74b5ec1df2433e5e0f298d0e375b6176299449b32d9e8169840bed734078cb	id	grammar-or-spelling
Sebelum mask ketuk pintu dahulu	96a2444c53940e39a8e982fe65850c67286492f1c2a4347c587d2c7b9674532f	id	grammar-or-spelling
Dick telah mengalami kecelakaan lalu-lintas.	a2a36d50c481eeeb81dd660e15f2bc84b43ca3518c8e82c3f562843c31cbb8c1	id	offensive-language
Apakah anda makan dirumah atau makan diluar?	863df6fa9abe8e8158fed70d046dbf8bb233e832f3c67e0a50eff7cf10152c51	id	grammar-or-spelling
Saya memasukkan tiga sendok gula dengan sendok.	b475e8bc279b50e86431e6046dfa00938045ddfaf8209aa7f86e41b1e3d9c6ff	id	grammar-or-spelling
Di atas meja ada berapa buah gelas.	767668e6e352f683f5272953b643f7a1e11051e99f998eb0bb06796efd8727f9	id	grammar-or-spelling
Bila aku katakan pada ibuku, dia akan kuatir, maka aku tidak berfikir untuk mengatakannya.	91a7afde6ea234726c1cab45a0471058d8520d853a134f2aafc23f6089ece0dc	id	grammar-or-spelling
Permisi, apa waktu itu?	b0053a5ca91aa6d85bb0d5293417adbaa094088aaf01aea4221b8aa75d10f64b	id	grammar-or-spelling
Orang Jepang dan Inggris biasanya menunggu di pemberhentian bis dengan mengantri.	8f8ee56c4dc4721694128cf17a653efa68739e01a5569e1af143f28d006a3c2c	id	grammar-or-spelling
Buku tulis ini lebih panjang lebarnya daripada panjangnya.	7aceb083a9e5dd6b19c2069a3382678732988e32fd607efb0dc6aa154443cd10	id	grammar-or-spelling
Muiriel tidak ada pilihan lain. Dia hanya dengan menerima kekalahannya.	66a50d7010152568aa2adcbf84ef477f6238f77e2e7ddf25fcd91b44d120f82c	id	grammar-or-spelling
relajar di negara orang	a27e1f14c23973dbb3bb88f4512640b7d67e1c5fff7429bf648192b744411a60	id	grammar-or-spelling
Dia menyandarkan kepalanya diatas bantal.	a906cc1f8bcbfa08a6997e172bc0b05e21b330cec3a1f599877cb7df7c90e581	id	grammar-or-spelling
Siapa nama anda, pak?	61e14aa9a4adc9209d61e43b885c048142828ddade5f0c3a3cd8bd317b112f66	id	grammar-or-spelling
Permisi, apa waktu itu?	b0053a5ca91aa6d85bb0d5293417adbaa094088aaf01aea4221b8aa75d10f64b	id	grammar-or-spelling
Tanya rumahnya dimana!	6c4052d71ecb6fe7161c34ae7a0ebc29e345a47c6df2d9e675f6ec02bd5a0228	id	grammar-or-spelling
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	offensive-language
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	grammar-or-spelling
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	different-language
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	difficult-pronunciation